Unnamed: 0,Timestamp,SLPR7:Voltage A:Angle,SLPR7:Voltage B:Angle,SLPR7:Voltage C:Angle,RAICHUR 400 KV:Frequency,SLPR7:Frequency,Raichur-SLPR1(MVAR):Analog,SLPR-RACHR1 (MVAR):Analog,RACHR-SLPR1-7 Va:Voltage A:Magnitude,RACHR-SLPR1-7 Vb:Voltage B:Magnitude,RACHR-SLPR1-7 Vc:Voltage C:Magnitude,SLPR7:Voltage A:Magnitude,SLPR7:Voltage B:Magnitude,SLPR7:Voltage C:Magnitude,Raichur-SLPR1(MW):Analog,SLPR-RACHR1 (MW):Analog,anomaly,deviation
21341,2014/12/20 05:44:09.160,-38.8139,-159.4264,80.5493,49.9571,49.9573,-18597186.0,-234033744.0,443351.6875,445520.3438,442014.7813,432088.9688,433057.0938,431312.5313,-194479360.0,195760656.0,1,30.858086743742753
21340,2014/12/20 05:44:09.120,-38.201,-158.8147,81.1611,49.9572,49.9573,-18499788.0,-233960224.0,443357.3125,445532.0313,442024.9063,432110.9688,433084.75,431330.4063,-193655600.0,195219680.0,1,30.840294465185607
21342,2014/12/20 05:44:09.200,-39.4304,-160.0425,79.9357,49.9569,49.9573,-18316848.0,-234116384.0,443346.75,445509.1875,442005.0625,432085.3125,433028.3438,431297.0938,-195268576.0,196163632.0,1,30.813952541150357
21343,2014/12/20 05:44:09.240,-40.0436,-160.6572,79.3224,49.957,49.9574,-18103308.0,-234096464.0,443342.3438,445501.3125,441997.9063,432088.0313,433024.9688,431286.1875,-196002016.0,196512416.0,1,30.704651138473956
21339,2014/12/20 05:44:09.080,-37.5878,-158.2008,81.7766,49.957,49.9574,-18302778.0,-233973168.0,443362.5,445540.0,442033.875,432123.4063,433080.5625,431340.3438,-192973568.0,194664560.0,1,30.702631959967643
21344,2014/12/20 05:44:09.280,-40.6588,-161.2729,78.7052,49.9571,49.9573,-17779242.0,-234033968.0,443338.0,445496.1875,441994.5625,432084.4063,433035.0938,431285.4063,-196458592.0,197006384.0,1,30.631421030655734
21338,2014/12/20 05:44:09.040,-36.9768,-157.5882,82.3889,49.9568,49.9573,-17828832.0,-233968224.0,443365.1875,445547.1875,442042.0625,432122.7813,433077.6563,431349.9688,-192740512.0,194144592.0,1,30.624560227897355
21337,2014/12/20 05:44:09.000,-36.3576,-156.9693,83.0067,49.9569,49.9572,-17616654.0,-233937936.0,443366.6875,445554.4375,442049.0,432116.9375,433087.0938,431349.4375,-192610992.0,193697312.0,1,30.58589809110779
21345,2014/12/20 05:44:09.320,-41.2766,-161.8887,78.0881,49.957,49.9573,-17600358.0,-233972640.0,443330.8438,445492.6875,441995.9375,432082.4375,433034.1875,431296.9063,-196618608.0,197421552.0,1,30.548407296798295
21336,2014/12/20 05:44:08.960,-35.7388,-156.3508,83.6241,49.9569,49.9572,-17588298.0,-233910992.0,443369.2813,445562.7813,442051.6563,432115.5,433099.375,431353.625,-192385856.0,193236048.0,1,30.53268452998633
21346,2014/12/20 05:44:09.360,-41.8918,-162.502,77.4737,49.957,49.9573,-17254818.0,-233906896.0,443321.1875,445487.4375,441994.0313,432074.8438,433028.0,431300.5313,-196551760.0,197725552.0,1,30.4584655761763
21347,2014/12/20 05:44:09.400,-42.5007,-163.1107,76.8631,49.9571,49.9574,-16996020.0,-233871824.0,443307.7188,445481.4375,441986.75,432065.7813,433033.375,431299.5,-196403072.0,198084928.0,1,30.43955706124362
21335,2014/12/20 05:44:08.920,-35.1234,-155.7359,84.2392,49.9569,49.9573,-17588022.0,-233809696.0,443375.9063,445567.2813,442052.4375,432138.2188,433120.9063,431374.5,-191937760.0,192797680.0,1,30.430165140036806
21348,2014/12/20 05:44:09.440,-43.1149,-163.7259,76.248,49.9571,49.9575,-16761798.0,-233868560.0,443294.0938,445471.5,441971.5625,432058.9375,433028.6563,431286.7188,-196317856.0,198472688.0,1,30.36043642739444
21334,2014/12/20 05:44:08.880,-34.5123,-155.1266,84.851,49.9569,49.9573,-17359392.0,-233671968.0,443379.75,445566.75,442049.9063,432153.9375,433123.5313,431372.375,-191597984.0,192283264.0,1,30.28410076230909
21349,2014/12/20 05:44:09.480,-43.7246,-164.3363,75.6391,49.9572,49.9575,-16605474.0,-233799264.0,443280.1875,445457.875,441953.4375,432045.8438,433006.0,431264.7813,-196756816.0,198819136.0,1,30.23462160815684
21333,2014/12/20 05:44:08.840,-33.9005,-154.5149,85.4637,49.9569,49.9572,-17276802.0,-233639344.0,443382.4688,445561.6563,442048.875,432148.8438,433111.875,431364.5,-191430800.0,191723328.0,1,30.153689724870127
21350,2014/12/20 05:44:09.520,-44.3411,-164.9523,75.024,49.9573,49.9575,-16806696.0,-233706768.0,443269.7813,445442.75,441937.6563,432037.875,432986.4375,431253.0313,-197634352.0,199090640.0,1,30.137418125213998
21332,2014/12/20 05:44:08.800,-33.28,-153.8932,86.085,49.9569,49.9572,-17647782.0,-233583712.0,443381.4375,445559.6875,442050.8438,432149.125,433111.375,431373.2188,-191087616.0,191384240.0,1,30.018969060482128
21351,2014/12/20 05:44:09.560,-44.9535,-165.5643,74.412,49.9573,49.9576,-17005764.0,-233657376.0,443260.0625,445426.4688,441923.9063,432033.6875,432979.4688,431249.3125,-198737904.0,199437776.0,1,29.979331588862074
21331,2014/12/20 05:44:08.760,-32.664,-153.2756,86.7026,49.9571,49.9572,-18269982.0,-233401120.0,443379.6875,445559.4688,442055.5625,432162.7188,433117.9063,431393.8125,-190096832.0,191106064.0,1,29.90405440336822
21352,2014/12/20 05:44:09.600,-45.5652,-166.176,73.8001,49.9572,49.9576,-17418780.0,-233583696.0,443248.8125,445412.6563,441910.8125,432030.3438,432976.375,431244.6563,-199271456.0,199860944.0,1,29.847574123063325
21353,2014/12/20 05:44:09.640,-46.1711,-166.7827,73.1936,49.9573,49.9577,-17592234.0,-233544544.0,443235.5313,445399.5625,441897.1875,432020.0,432965.0938,431228.2188,-199191360.0,200157152.0,1,29.7624348027183
21330,2014/12/20 05:44:08.720,-32.0444,-152.6551,87.3218,49.957,49.9571,-18859674.0,-233229760.0,443381.3438,445562.4375,442060.8125,432171.5313,433135.4688,431413.7813,-188900304.0,190839024.0,1,29.759816373937603
